time (minutes),A,B
15.9941666666667,34624.6809491411,57707.2512505128
15.995,34624.6809491566,57707.2514094548
15.9958333333333,34624.6809491721,57707.2515683508
15.9966666666667,34624.6809491876,57707.251727201
15.9975,34624.680949203,57707.2518860053
15.9983333333333,34624.6809492185,57707.2520447637
15.9991666666667,34624.680949234,57707.2522034763
16,34624.6809492494,57707.252362143
16.0008333333333,34624.6809492649,57707.252520764
16.0016666666667,34624.6809492803,57707.2526793391
16.0025,34624.6809492957,57707.2528378684
16.0033333333333,34624.6809493112,57707.252996352
16.0041666666667,34624.6809493266,57707.2531547898
16.005,34624.680949342,57707.2533131819
16.0058333333333,34624.6809493574,57707.2534715282
16.0066666666667,34624.6809493728,57707.2536298288
16.0075,34624.6809493882,57707.2537880836
16.0083333333333,34624.6809494035,57707.2539462928
16.0091666666667,34624.6809494189,57707.2541044563
16.01,34624.6809494343,57707.2542625741
16.0108333333333,34624.6809494496,57707.2544206463
16.0116666666667,34624.680949465,57707.2545786728
16.0125,34624.6809494803,57707.2547366537
16.0133333333333,34624.6809494956,57707.254894589
16.0141666666667,34624.680949511,57707.2550524786
16.015,34624.6809495263,57707.2552103227
16.0158333333333,34624.6809495416,57707.2553681212
16.0166666666667,34624.6809495569,57707.2555258741
16.0175,34624.6809495722,57707.2556835814
16.0183333333333,34624.6809495875,57707.2558412433
16.0191666666667,34624.6809496027,57707.2559988596
16.02,34624.680949618,57707.2561564303
16.0208333333333,34624.6809496333,57707.2563139556
16.0216666666667,34624.6809496485,57707.2564714354
16.0225,34624.6809496638,57707.2566288697
16.0233333333333,34624.680949679,57707.2567862586
16.0241666666667,34624.6809496943,57707.256943602
16.025,34624.6809497095,57707.2571009
16.0258333333333,34624.6809497247,57707.2572581525
16.0266666666667,34624.6809497399,57707.2574153597
16.0275,34624.6809497551,57707.2575725214
16.0283333333333,34624.6809497703,57707.2577296378
16.0291666666667,34624.6809497855,57707.2578867088
16.03,34624.6809498007,57707.2580437344
16.0308333333333,34624.6809498159,57707.2582007147
16.0316666666667,34624.6809498311,57707.2583576497
16.0325,34624.6809498462,57707.2585145393
16.0333333333333,34624.6809498614,57707.2586713837
16.0341666666667,34624.6809498765,57707.2588281827
16.035,34624.6809498917,57707.2589849365
16.0358333333333,34624.6809499068,57707.259141645
16.0366666666667,34624.6809499219,57707.2592983083
